sorteo,fecha,dia_semana,hora,momento,combinacion,n1,n2,n3,EXACTA_GANADORES,EXACTA_MONTO,TRIO_PAR_GANADORES,TRIO_PAR_MONTO,TRIO_AZAR_GANADORES,TRIO_AZAR_MONTO,PAR_GANADORES,PAR_MONTO,TERMINACION_GANADORES,TERMINACION_MONTO
12991,2016-01-01 14:00:00,Friday,14,DIA,525,5,2,5,8,320000,4,52000,0,0,14,28000,30,12000
12992,2016-01-01 18:00:00,Friday,18,TARDE,341,3,4,1,11,440000,0,0,22,143000,15,30000,29,11600
12993,2016-01-01 21:00:00,Friday,21,NOCHE,122,1,2,2,2,80000,2,26000,0,0,16,32000,28,11200
12994,2016-01-02 14:00:00,Saturday,14,DIA,608,6,0,8,7,280000,0,0,59,383500,20,40000,119,47600
12995,2016-01-02 18:00:00,Saturday,18,TARDE,962,9,6,2,8,320000,0,0,43,279500,4,8000,38,15200
12996,2016-01-02 21:00:00,Saturday,21,NOCHE,996,9,9,6,23,920000,7,91000,0,0,23,46000,61,24400
12997,2016-01-03 14:00:00,Sunday,14,DIA,997,9,9,7,17,680000,14,182000,0,0,46,92000,112,44800
12998,2016-01-03 18:00:00,Sunday,18,TARDE,434,4,3,4,100,4000000,11,143000,0,0,36,72000,19,7600
12999,2016-01-03 21:00:00,Sunday,21,NOCHE,583,5,8,3,8,320000,0,0,47,305500,11,22000,82,32800
13000,2016-01-04 14:00:00,Monday,14,DIA,350,3,5,0,108,4320000,0,0,72,468000,73,146000,57,22800
13001,2016-01-04 18:00:00,Monday,18,TARDE,136,1,3,6,18,720000,0,0,36,234000,51,102000,35,14000
13002,2016-01-04 21:00:00,Monday,21,NOCHE,462,4,6,2,0,0,0,0,138,897000,26,52000,53,21200
13003,2016-01-05 14:00:00,Tuesday,14,DIA,431,4,3,1,28,1120000,0,0,49,318500,43,86000,72,28800
13004,2016-01-05 18:00:00,Tuesday,18,TARDE,259,2,5,9,22,880000,0,0,26,169000,25,50000,78,31200
13005,2016-01-05 21:00:00,Tuesday,21,NOCHE,250,2,5,0,73,2920000,0,0,71,461500,44,88000,60,24000
13006,2016-01-06 14:00:00,Wednesday,14,DIA,433,4,3,3,5,200000,13,169000,0,0,21,42000,89,35600
13007,2016-01-06 18:00:00,Wednesday,18,TARDE,378,3,7,8,135,5400000,0,0,61,396500,53,106000,100,40000
13008,2016-01-06 21:00:00,Wednesday,21,NOCHE,666,6,6,6,159,6360000,0,0,0,0,56,112000,70,28000
13009,2016-01-07 14:00:00,Thursday,14,DIA,708,7,0,8,2,80000,0,0,20,130000,20,40000,105,42000
13010,2016-01-07 18:00:00,Thursday,18,TARDE,650,6,5,0,30,1200000,0,0,22,143000,29,58000,59,23600
13011,2016-01-07 21:00:00,Thursday,21,NOCHE,868,8,6,8,12,480000,8,104000,0,0,30,60000,81,32400
13012,2016-01-08 14:00:00,Friday,14,DIA,122,1,2,2,18,720000,21,273000,0,0,63,126000,86,34400
13013,2016-01-08 18:00:00,Friday,18,TARDE,961,9,6,1,1,40000,0,0,26,169000,11,22000,49,19600
13014,2016-01-08 21:00:00,Friday,21,NOCHE,374,3,7,4,8,320000,0,0,149,968500,24,48000,66,26400
13015,2016-01-09 14:00:00,Saturday,14,DIA,107,1,0,7,29,1160000,0,0,24,156000,20,40000,97,38800
13016,2016-01-09 18:00:00,Saturday,18,TARDE,955,9,5,5,0,0,3,39000,0,0,22,44000,42,16800
13017,2016-01-09 21:00:00,Saturday,21,NOCHE,287,2,8,7,7,280000,0,0,188,1222000,26,52000,118,47200
13018,2016-01-10 14:00:00,Sunday,14,DIA,876,8,7,6,27,1080000,0,0,88,572000,31,62000,104,41600
13019,2016-01-10 18:00:00,Sunday,18,TARDE,795,7,9,5,2,80000,0,0,15,97500,8,16000,42,16800
13020,2016-01-10 21:00:00,Sunday,21,NOCHE,608,6,0,8,3,120000,0,0,9,58500,13,26000,84,33600
13021,2016-01-11 14:00:00,Monday,14,DIA,873,8,7,3,6,240000,0,0,72,468000,16,32000,128,51200
13022,2016-01-11 18:00:00,Monday,18,TARDE,116,1,1,6,17,680000,9,117000,0,0,31,62000,62,24800
13023,2016-01-11 21:00:00,Monday,21,NOCHE,891,8,9,1,6,240000,0,0,17,110500,15,30000,42,16800
13024,2016-01-12 14:00:00,Tuesday,14,DIA,997,9,9,7,0,0,3,39000,0,0,18,36000,81,32400
13025,2016-01-12 18:00:00,Tuesday,18,TARDE,073,0,7,3,0,0,0,0,15,97500,12,24000,64,25600
13026,2016-01-12 21:00:00,Tuesday,21,NOCHE,181,1,8,1,5,200000,14,182000,0,0,29,58000,71,28400
13027,2016-01-13 14:00:00,Wednesday,14,DIA,961,9,6,1,9,360000,0,0,48,312000,15,30000,59,23600
13028,2016-01-13 18:00:00,Wednesday,18,TARDE,335,3,3,5,5,200000,12,156000,0,0,21,42000,32,12800
13029,2016-01-13 21:00:00,Wednesday,21,NOCHE,232,2,3,2,37,1480000,16,208000,0,0,62,124000,131,52400
13030,2016-01-14 14:00:00,Thursday,14,DIA,927,9,2,7,41,1640000,0,0,18,117000,44,88000,70,28000
13031,2016-01-14 18:00:00,Thursday,18,TARDE,725,7,2,5,16,640000,0,0,64,416000,94,188000,128,51200
13032,2016-01-14 21:00:00,Thursday,21,NOCHE,466,4,6,6,0,0,7,91000,0,0,49,98000,91,36400
